# DANH SACH THUOC CHI TIET
# Tong so: 721

5-Fluorouracil | drug_modules\oncology\antimetabolites.py | 23 fields
Icosapent ethyl | drug_modules\cardiovascular\triglyceride_lowering.py | 23 fields
Idarucizumab | drug_modules\hematology.py | 26 fields
Ifosfamide | drug_modules\oncology\alkylating_agents.py | 23 fields
Ilaprazole | drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py | 24 fields
Imatinib | drug_modules\oncology\targeted_therapy_tkis.py | 23 fields
Imipenem-cilastatin | drug_modules\antimicrobial\antibiotics\beta_lactams.py | 31 fields
Inclisiran | drug_modules\cardiovascular\pcsk9_inhibitors.py | 22 fields
Indacaterol | drug_modules\respiratory\long_acting_beta_2_agonist_labas.py | 23 fields
Indapamide | drug_modules\cardiovascular\diuretics.py | 22 fields
Indomethacin | drug_modules\analgesics\nsaids.py | 23 fields
Infliximab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Insulin | drug_modules\diabetes\insulins.py | 26 fields
Insulin Aspart | drug_modules\diabetes\specific_insulins.py | 24 fields
Insulin Degludec | drug_modules\diabetes\specific_insulins.py | 24 fields
Insulin Detemir | drug_modules\diabetes\specific_insulins.py | 24 fields
Insulin Glargine | drug_modules\diabetes\specific_insulins.py | 24 fields
Insulin Glulisine | drug_modules\diabetes\specific_insulins.py | 24 fields
Insulin Lispro | drug_modules\diabetes\specific_insulins.py | 24 fields
Insulin NPH | drug_modules\diabetes\specific_insulins.py | 24 fields
Insulin Regular | drug_modules\diabetes\specific_insulins.py | 24 fields
Ipratropium | drug_modules\respiratory\anticholinergic_short_actings.py | 23 fields
Ipratropium/Salbutamol inhaler | drug_modules\respiratory\combination_inhalers.py | 25 fields
Irbesartan | drug_modules\cardiovascular\arbs.py | 26 fields
Irinotecan | drug_modules\oncology\topoisomerase_inhibitors.py | 23 fields
Iron | drug_modules\supportive\irons.py | 25 fields
Isavuconazole | drug_modules\antimicrobial\antifungals\azoles.py | 25 fields
Isoniazid | drug_modules\infectious_other\antituberculars.py | 26 fields
Isosorbide mononitrate | drug_modules\cardiovascular\vasodilators.py | 23 fields
Isradipine | drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py | 27 fields
Istradefylline | drug_modules\neurological\antiparkinsonian.py | 23 fields
Itraconazole | drug_modules\antimicrobial\antifungals\azoles.py | 26 fields
Ivabradine | drug_modules\cardiovascular\other_cv.py | 27 fields
Ivermectin | drug_modules\infectious_other\anthelmintics.py | 26 fields
